Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers (U.K.) Ltd.
Statement,Data,BrokerAddress,"Level 20 Heron Tower, 110 Bishopsgate, London EC2N 4AY, UK. Regulated by FCA"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 29, 2020 - December 31, 2020"
Statement,Data,WhenGenerated,"2022-03-04, 15:54:37 EST"
Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,Proceeds,Comm/Fee,Code
Trades,Data,Order,Stocks,USD,SBUX,"2020-02-26, 15:57:46",6,80.705,-484.23,-1,
Trades,Data,Order,Stocks,USD,SBUX,"2020-03-18, 13:11:17",4,50.48,-201.92,-1,
Trades,Data,Order,Stocks,USD,SBUX,"2020-05-14, 13:30:19",-10,73.3,733,-1.0173893,P
Trades,SubTotal,,Stocks,USD,SBUX,,0,,46.85,-3.0173893,
Trades,Data,Order,Stocks,USD,SE,"2020-10-22, 15:39:01",2,162.5,-325,-1,
Trades,SubTotal,,Stocks,USD,SE,,2,,-325,-1,
Trades,Data,Order,Stocks,USD,SHOP,"2020-02-21, 11:19:42",1,522.29,-522.29,-1,
Trades,Data,Order,Stocks,USD,SHOP,"2020-05-14, 09:30:00",-1,750.26,750.26,-1.016699746,
Trades,SubTotal,,Stocks,USD,SHOP,,0,,227.97,-2.016699746,
Trades,Data,Order,Stocks,USD,T,"2020-03-16, 09:55:06",7,31.48,-220.36,-1,
Trades,SubTotal,,Stocks,USD,T,,7,,-220.36,-1,
Trades,Data,Order,Stocks,USD,TDOC,"2020-08-07, 14:17:51",1,195.5373,-195.5373,-1,
Trades,SubTotal,,Stocks,USD,TDOC,,1,,-195.5373,-1,
Trades,Data,Order,Stocks,USD,TROW,"2020-05-22, 12:04:44",3,114.51,-343.53,-1,
Trades,SubTotal,,Stocks,USD,TROW,,3,,-343.53,-1,
Trades,Data,Order,Stocks,USD,TTD,"2020-05-01, 14:16:52",10,27.79,-277.9,-1,
Trades,SubTotal,,Stocks,USD,TTD,,10,,-27.79,-1,
Trades,Data,Order,Stocks,USD,TWLO,"2020-10-14, 13:37:34",1,321.62,-321.62,-1,
Trades,SubTotal,,Stocks,USD,TWLO,,1,,-321.62,-1,
Trades,Data,Order,Stocks,USD,U,"2020-10-23, 13:55:58",3,96.73,-290.19,-1,
Trades,Data,Order,Stocks,USD,U,"2020-12-09, 11:31:21",2,156.2,-312.4,-1,
Trades,SubTotal,,Stocks,USD,U,,5,,-602.59,-2,
Trades,Data,Order,Stocks,USD,UPS,"2020-02-18, 11:29:57",6,105.99,-635.94,-1,
Trades,SubTotal,,Stocks,USD,UPS,,6,,-635.94,-1,
Trades,Data,Order,Stocks,USD,WFC,"2020-02-19, 15:39:56",20,47.115,-942.3,-1,
Trades,Data,Order,Stocks,USD,WFC,"2020-10-02, 10:30:11",-20,23.461,469.22,-1.012749762,
Trades,SubTotal,,Stocks,USD,WFC,,0,,-473.08,-2.012749762,
Trades,Data,Order,Stocks,USD,WORK,"2020-02-13, 15:16:13",15,26.4993,-397.4895,-1,
Trades,Data,Order,Stocks,USD,WORK,"2020-05-14, 09:30:00",-15,29.9,448.5,-1.01169685,
Trades,SubTotal,,Stocks,USD,WORK,,0,,51.0105,-2.01169685,
Trades,Data,Order,Stocks,USD,ZBRA,"2020-11-19, 15:45:00",1,358,-358,-1,
Trades,SubTotal,,Stocks,USD,ZBRA,,1,,-358,-1,
Trades,Data,Order,Stocks,USD,ZM,"2020-04-06, 09:30:01",2,113.63,-227.26,-1,
Trades,SubTotal,,Stocks,USD,ZM,,2,,-227.26,-1,
Trades,Data,Order,Stocks,USD,ZYXI,"2020-08-05, 14:51:39",10,18.37,-183.7,-1,
Trades,Data,Order,Stocks,USD,ZYXI,"2020-11-02, 15:23:45",-10,12.9,129,-1.0040409,
Trades,SubTotal,,Stocks,USD,ZYXI,,0,,-54.7,-2.0040409,
Trades,Total,,Stocks,USD,,,,,-18992.367166,-98.310411502, 
