Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers Central Europe Zrt.
Statement,Data,BrokerAddress,"Madach Imre ut 13-14, Floor 5, Budapest, 1075, Hungary"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 1, 2023 - December 31, 2023"
Statement,Data,WhenGenerated,"2024-02-20, 17:21:06 EST"
Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,Proceeds,Comm/Fee,Code
Trades,Data,Order,Forex,CAD,USD.CAD,"2023-08-01, 16:30:00",12.09155248,1.3282,-16.06,0,
Trades,Data,Order,Forex,CAD,USD.CAD,"2023-09-04, 16:30:00",8.32107122,1.3592,-11.31,0,
Trades,Data,Order,Forex,CAD,USD.CAD,"2023-10-30, 16:30:00",6.51670765,1.3826,-9.01,0,
Trades,Data,Order,Forex,CAD,USD.CAD,"2023-11-01, 16:30:00",11.59148322,1.3855,-16.06,0,
Trades,Data,Order,Forex,CAD,USD.CAD,"2023-11-29, 16:30:00",605.40142762,1.3589,-822.68,0,
Trades,Data,Order,Forex,CAD,USD.CAD,"2023-12-04, 16:30:00",8.35487922,1.3537,-11.31,0,
Trades,Data,Order,Forex,CAD,USD.CAD,"2023-12-05, 16:30:00",-0.11035904,1.3592,0.15,0,
Trades,Data,Order,Forex,CAD,USD.CAD,"2023-12-15, 12:16:09",-847,1.33725,1132.65075,0,L
Trades,Data,Order,Forex,CAD,USD.CAD,"2023-12-15, 16:30:00",0.44839698,1.3381,-0.6,0,
Trades,SubTotal,,Forex,CAD,USD.CAD,,-134.15370083,,164.770750002,0,
Trades,Total,,Forex,CAD,,,,,164.770750002,0, 
Trades,Total,,Forex,PLN,,,,,518.654696706,0, 
Trades,Data,Order,Forex,GBP,EUR.GBP,"2023-02-06, 09:53:40","-1,041",0.89185,928.41585,-0.099050872,L
Trades,Data,Order,Forex,GBP,EUR.GBP,"2023-08-23, 03:24:18",8,0.8516,-6.8128,0,L
Trades,SubTotal,,Forex,GBP,EUR.GBP,,-1033,,921.60305,-0.099050872,
Trades,Total,,Forex,GBP,,,,,921.60305,-0.099050872, 
Trades,Total,,Forex,PLN,,,,,4902.867642105,-0.099050872, 
Trades,Data,Order,Forex,PLN,USD.PLN,"2023-10-04, 04:09:30","-16,100",4.42279,71206.919,-8.8468,
Trades,Data,Order,Forex,PLN,USD.PLN,"2023-10-30, 16:30:00",-6.51670765,4.1889,27.297836683,0,
Trades,Data,Order,Forex,PLN,USD.PLN,"2023-11-01, 16:30:00",-11.59148322,4.2272,48.999517863,0,
Trades,Data,Order,Forex,PLN,USD.PLN,"2023-11-29, 16:30:00",-605.40142762,3.9608,2397.873974537,0,
Trades,Data,Order,Forex,PLN,USD.PLN,"2023-12-04, 16:30:00",-8.35487922,3.9951,33.378577972,0,
Trades,Data,Order,Forex,PLN,USD.PLN,"2023-12-15, 16:30:00",-0.44839698,3.9762,1.782916076,0,
Trades,SubTotal,,Forex,PLN,USD.PLN,,-16732.31289469,,73716.251823131,-8.8468,
Trades,Total,,Forex,PLN,,,,,73716.251823131,-8.8468, 
Trades,Data,Order,Forex,SGD,USD.SGD,"2023-02-28, 16:30:00",3.1889647,1.3484,-4.3,0,
Trades,Data,Order,Forex,SGD,USD.SGD,"2023-02-28, 20:26:00",7.66834767,1.3484,-10.34,0,
Trades,Data,Order,Forex,SGD,USD.SGD,"2023-03-06, 16:30:00",29.06847075,1.3451,-39.1,0,
Trades,Data,Order,Forex,SGD,USD.SGD,"2023-08-30, 16:30:00",24.89442098,1.3497,-33.599999999,0,
Trades,Data,Order,Forex,SGD,USD.SGD,"2023-08-31, 16:30:00",10.78961,1.3513,-14.58,0,
Trades,SubTotal,,Forex,SGD,USD.SGD,,75.6098141,,-101.919999999,0,
Trades,Total,,Forex,SGD,,,,,-101.919999999,0, 
Trades,Total,,Forex,PLN,,,,,-321.884197997,0, 
Trades,Data,Order,Forex,USD,EUR.USD,"2023-01-04, 10:32:42","-2,214",1.0589,2344.4046,-8.802,
Trades,Data,Order,Forex,USD,EUR.USD,"2023-01-04, 10:32:42",-0.64993351,1.0589,0.688214598,0,
Trades,Data,Order,Forex,USD,EUR.USD,"2023-01-11, 11:06:43",9,1.07585,-9.68265,0,L
Trades,Data,Order,Forex,USD,EUR.USD,"2023-01-13, 19:45:13",-0.3178617,1.08325,0.344323687,0,
Trades,Data,Order,Forex,USD,EUR.USD,"2023-03-02, 09:32:04",-1,1.0598,1.0598,0,L
Trades,Data,Order,Forex,USD,EUR.USD,"2023-03-02, 09:32:04","-1,011",1.05975,1071.40725,-0.094971681,L
Trades,Data,Order,Forex,USD,EUR.USD,"2023-03-20, 04:18:26",51,1.0645,-54.2895,0,L
Trades,Data,Order,Forex,USD,EUR.USD,"2023-03-20, 04:18:26",-0.07,1.0645,0.074515,0,
Trades,Data,Order,Forex,USD,EUR.USD,"2023-04-25, 04:17:16","1,256",1.10305,-1385.4308,-0.116049226,L
Trades,Data,Order,Forex,USD,EUR.USD,"2023-04-25, 04:17:16",-0.1408415,1.10305,0.155355217,0,
Trades,Data,Order,Forex,USD,EUR.USD,"2023-06-20, 11:22:11",894,1.09075,-975.1305,0,L
Trades,Data,Order,Forex,USD,EUR.USD,"2023-06-22, 20:00:48",-0.9645342,1.09555,1.056695443,0,
Trades,Data,Order,Forex,USD,EUR.USD,"2023-07-11, 05:29:07",722,1.1004,-794.4888,0,L
Trades,Data,Order,Forex,USD,EUR.USD,"2023-07-13, 19:52:36",-0.56716,1.12255,0.636665458,0,
Trades,Data,Order,Forex,USD,EUR.USD,"2023-08-22, 11:10:10",-910,1.0848,987.168,0,L
Trades,Data,Order,Forex,USD,EUR.USD,"2023-08-25, 19:51:05",-0.01,1.07955,0.0107955,0,
Trades,SubTotal,,Forex,USD,EUR.USD,,-1206.72033091,,1187.983964903,-9.013020907,
Trades,Data,Order,Forex,USD,GBP.USD,"2023-01-09, 11:29:34",515,1.22005,-628.32575,0,L
Trades,Data,Order,Forex,USD,GBP.USD,"2023-01-11, 19:48:04",-0.22299328,1.21485,0.270903387,0,
Trades,Data,Order,Forex,USD,GBP.USD,"2023-02-08, 19:51:30",-0.2986,1.20715,0.36045499,0,
Trades,Data,Order,Forex,USD,GBP.USD,"2023-05-11, 05:20:24","2,248",1.25825,-2828.546,-0.235261485,L
Trades,Data,Order,Forex,USD,GBP.USD,"2023-08-20, 20:15:31",-53,1.27435,67.54055,0,L
Trades,SubTotal,,Forex,USD,GBP.USD,,2709.47840672,,-3388.699841623,-0.235261485,
Trades,Data,Order,Forex,USD,PLN.USD,"2023-12-05, 16:30:00",-0.44182495,0.24978,0.110359035,0,
Trades,SubTotal,,Forex,USD,PLN.USD,,-0.44182495,,0.110359035,0,
Trades,Total,,Forex,USD,,,,,-2200.605517685,-9.248282392, 
Trades,Total,,Forex,PLN,,,,,-8331.756847635,-9.248282392, 
