Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers Central Europe Zrt.
Statement,Data,BrokerAddress,"Madach Imre ut 13-14, Floor 5, Budapest, 1075, Hungary"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 3, 2022 - March 10, 2022"
Statement,Data,WhenGenerated,"2022-03-11, 15:32:06 EST"
Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,Proceeds,Comm/Fee,Code
Trades,Data,Order,Forex,CAD,USD.CAD,"2022-02-07, 16:30:00",0.4816,1.2667,-0.61004272,0,
Trades,Data,Order,Forex,CAD,USD.CAD,"2022-03-02, 16:30:00",8.6778,1.263,-10.9600614,0,
Trades,SubTotal,,Forex,CAD,USD.CAD,,739.1502,,-932.40935714,-0.028209473,
Trades,Total,,Forex,CAD,,,,,-932.40935714,-0.028209473, 
Trades,Total,,Forex,USD,,,,,-729.525625556,-0.028209473, 
Trades,Data,Order,Forex,HKD,USD.HKD,"2022-01-13, 20:20:01","-1,635",7.7881,12733.5435,-0.032688248,L
Trades,Data,Order,Forex,HKD,USD.HKD,"2022-01-13, 20:26:00",0.6486,7.7866,-5.05038876,0,
Trades,SubTotal,,Forex,HKD,USD.HKD,,-1634.3514,,12728.49311124,-0.032688248,
Trades,Total,,Forex,HKD,,,,,12728.49311124,-0.032688248, 
Trades,Total,,Forex,USD,,,,,1635.10222507,-0.032688248, 
Trades,Data,Order,Forex,SGD,USD.SGD,"2022-01-03, 19:59:55",-527,1.35335,713.21545,0,L
Trades,Data,Order,Forex,SGD,USD.SGD,"2022-01-03, 20:26:00",0.3029,1.3538,-0.41006602,0,
Trades,Data,Order,Forex,SGD,USD.SGD,"2022-01-07, 03:08:37",-746,1.3595,1014.187,0,L
Trades,Data,Order,Forex,SGD,USD.SGD,"2022-01-07, 16:30:00",0.9293,1.3558,-1.25994494,0,
Trades,Data,Order,Forex,SGD,USD.SGD,"2022-01-10, 02:04:40",-504,1.35485,682.8444,0,L
Trades,Data,Order,Forex,SGD,USD.SGD,"2022-01-10, 16:30:00",0.0369,1.3564,-0.05005116,0,
Trades,Data,Order,Forex,SGD,USD.SGD,"2022-02-25, 16:30:00",26.5957,1.3536,-35.99993952,0,
Trades,Data,Order,Forex,SGD,USD.SGD,"2022-03-01, 16:30:00",5.2585,1.3578,-7.1399913,0,
