Data,Czas,Produkt,ISIN,Giełda referenc,Miejsce wykonania,Liczba,Kurs,,Wartość lokalna,,Wartość,,Kurs wymian,Opłata transakcyjna,,Razem,,Identyfikator zlecenia
24-02-2021,20:53,HOME DEPOT INC. (THE),US4370761029,NSY,XNAS,1,259.7000,USD,-259.70,USD,-213.80,EUR,1.2147,-0.50,EUR,-214.30,EUR,f3acae2b-b1b9-4c1a-a2d4-ced569646bec
22-02-2021,21:24,PINTEREST INC. CLASS A COMMON STOCK,US72352L1061,NSY,SOHO,3,81.5500,USD,-244.65,USD,-201.24,EUR,1.2157,-0.51,EUR,-201.75,EUR,cb3e17fa-d167-4ed0-998f-baf870df9a30
22-02-2021,21:20,MASIMO CORPORATION - C,US5747951003,NDQ,ARCX,1,253.2000,USD,-253.20,USD,-208.22,EUR,1.2160,-0.50,EUR,-208.72,EUR,394cab14-7d32-4322-9a11-621d28ea86ca
19-02-2021,19:45,KIMBERLY-CLARK CORPORA,US4943681035,NSY,SOHO,3,131.2300,USD,-393.69,USD,-325.10,EUR,1.2110,-0.51,EUR,-325.61,EUR,8677cb95-b35a-483f-a19c-e8bab356f4ed
09-02-2021,21:39,T. ROWE PRICE GROUP I,US74144T1088,NDQ,CDED,4,165.2900,USD,-661.16,USD,-545.60,EUR,1.2118,-0.51,EUR,-546.11,EUR,f4069708-e94e-43ff-81b9-a177da508c0e
04-02-2021,16:04,PROCTER & GAMBLE COMPA,US7427181091,NSY,CDED,4,129.2800,USD,-517.12,USD,-431.65,EUR,1.1980,-0.51,EUR,-432.16,EUR,33513f4e-5bc4-4ab0-899d-5ff3c7e3299f
04-02-2021,15:55,QUALCOMM INCORPORATED,US7475251036,NDQ,CDED,-3,149.0100,USD,447.03,USD,373.24,EUR,1.1977,-0.51,EUR,372.73,EUR,15036ade-8381-440c-b04b-c0ede40a5f84
01-02-2021,16:10,ALTRIA GROUP INC.,US02209S1033,NSY,CDED,10,40.5300,USD,-405.30,USD,-335.18,EUR,1.2092,-0.53,EUR,-335.71,EUR,85f6ff59-508b-4820-a3ba-ed550b38a007
20-01-2021,18:21,WIX.COM LTD. - ORDINAR,IL0011301780,NDQ,CDED,-1,258.0200,USD,258.02,USD,213.08,EUR,1.2109,-0.50,EUR,212.58,EUR,77d2e756-b84d-458e-97b5-ac1b37bab868
01-12-2020,00:00,MCCORMICK & COMPANY I,US5797802064,NSY,,10,93.4900,USD,-934.90,USD,-774.47,EUR,1.2071,,,-774.47,EUR,
01-12-2020,00:00,MCCORMICK & COMPANY I,US5797802064,NSY,,-5,186.9800,USD,934.90,USD,774.47,EUR,1.2071,,,774.47,EUR,
30-11-2020,08:36,UNILEVER,GB00B10RZP78,EAM,,5,50.2600,EUR,-251.30,EUR,-251.30,EUR,,,,-251.30,EUR,
30-11-2020,08:36,UNILEVER OS,NL0000388619,EAM,,-5,50.2600,EUR,251.30,EUR,251.30,EUR,,,,251.30,EUR,
30-11-2020,08:35,UNILEVER,GB00B10RZP78,EAM,,-10,50.2600,EUR,502.60,EUR,502.60,EUR,,,,502.60,EUR,
30-11-2020,08:35,UNILEVER OS,NL0000388619,EAM,,10,50.2600,EUR,-502.60,EUR,-502.60,EUR,,,,-502.60,EUR,
30-11-2020,08:26,UNILEVER,GB00B10RZP78,EAM,,5,50.2600,EUR,-251.30,EUR,-251.30,EUR,,,,-251.30,EUR,
30-11-2020,08:26,UNILEVER OS,NL0000388619,EAM,,-5,50.2600,EUR,251.30,EUR,251.30,EUR,,,,251.30,EUR,
30-11-2020,08:25,UNILEVER,GB00B10RZP78,EAM,,5,50.2600,EUR,-251.30,EUR,-251.30,EUR,,,,-251.30,EUR,
30-11-2020,08:25,UNILEVER OS,NL0000388619,EAM,,-5,50.2600,EUR,251.30,EUR,251.30,EUR,,,,251.30,EUR,
02-11-2020,00:00,TELADOC INC. COMMON S,US87918A1051,NSY,,1,228.9358,USD,-228.94,USD,-195.37,EUR,1.1718,,,-195.37,EUR,
02-11-2020,00:00,LIVONGO HEALTH INC,US5391831030,NDQ,,-2,135.5300,USD,271.06,USD,231.32,EUR,1.1718,,,231.32,EUR,
21-10-2020,18:03,FASTLY INC. CLASS A COMMON STOCK,US31188V1008,NSY,ARCX,-3,79.0000,USD,237.00,USD,199.61,EUR,1.1873,-0.51,EUR,199.10,EUR,fcbc64dc-7b74-4cd0-9171-5724fd039d52
15-10-2020,21:11,AUTODESK INC. - COMMO,US0527691069,NDQ,,1,252.8800,USD,-252.88,USD,-216.16,EUR,1.1699,-0.50,EUR,-216.66,EUR,b72002ac-c0a2-4269-9deb-0265380c8b04
15-10-2020,15:48,FASTLY INC. CLASS A COMMON STOCK,US31188V1008,NSY,CDED,3,87.3200,USD,-261.96,USD,-223.97,EUR,1.1696,-0.51,EUR,-224.48,EUR,d22be444-ed38-4658-8f76-99c178d940ae
14-10-2020,21:36,EXXON MOBIL CORPORATIO,US30231G1022,NSY,CDED,-15,34.2500,USD,513.75,USD,437.16,EUR,1.1752,-0.55,EUR,436.61,EUR,e1587d42-2656-4dd9-895e-d3c61984de65
14-10-2020,15:30,ETSY INC. - COMMON ST,US29786A1060,NDQ,,-2,153.8000,USD,307.60,USD,261.56,EUR,1.1760,-0.51,EUR,261.05,EUR,70ce7494-1fb8-4fd6-93cd-20023c43936f
02-10-2020,15:57,PINTEREST INC. CLASS A COMMON STOCK,US72352L1061,NSY,CDED,5,44.0000,USD,-220.00,USD,-187.84,EUR,1.1712,-0.52,EUR,-188.36,EUR,8435d23a-40d8-4d99-9d60-4e33b7fa3e04
02-10-2020,00:00,NETEASE INC. - AMERIC,US64110W1027,NDQ,,5,92.7180,USD,-463.59,USD,-395.67,EUR,1.1716,,,-395.67,EUR,
02-10-2020,00:00,NETEASE INC. - AMERIC,US64110W1027,NDQ,,-1,463.5900,USD,463.59,USD,395.67,EUR,1.1716,,,395.67,EUR,
23-09-2020,19:34,JFROG LTD. - ORDINARY SHARES,IL0011684185,NDQ,,1,79.2000,USD,-79.20,USD,-67.81,EUR,1.1679,-0.50,EUR,-68.31,EUR,d8a86080-29f7-4610-bb54-71ccfd069413
17-09-2020,21:33,BANDWIDTH INC. - CLASS,US05988J1034,NDQ,,2,150.6000,USD,-301.20,USD,-254.20,EUR,1.1849,-0.51,EUR,-254.71,EUR,d0974065-5d7b-4dae-95d2-6c754cdc42b6
15-09-2020,17:27,WEX INC. COMMON STOCK,US96208T1043,NSY,,-2,148.0500,USD,296.10,USD,249.96,EUR,1.1846,-0.51,EUR,249.45,EUR,255ed41d-e545-4e56-9549-9142828fedb8
15-09-2020,17:26,ZYNGA INC. - CLASS A C,US98986T1088,NDQ,,-28,8.4650,USD,237.02,USD,200.07,EUR,1.1847,-0.59,EUR,199.48,EUR,724850c4-5c27-4185-8a51-9d5880653732
25-08-2020,18:14,ETSY INC. - COMMON ST,US29786A1060,NDQ,,2,125.0000,USD,-250.00,USD,-211.61,EUR,1.1814,-0.51,EUR,-212.12,EUR,a7539f92-9f3f-45bd-9390-7de32d4e760e
24-08-2020,21:48,BLOCK INC.,US8522341036,NSY,,2,151.8000,USD,-303.60,USD,-257.62,EUR,1.1785,-0.51,EUR,-258.13,EUR,76b3c950-08a9-49f7-a4dd-a7744422f75c
20-08-2020,21:04,JD.COM INC. - AMERICA,US47215P1066,NDQ,,4,74.2900,USD,-297.16,USD,-250.62,EUR,1.1857,-0.51,EUR,-251.13,EUR,017d2c2e-c5f0-4c28-a232-20539a341819
13-08-2020,20:33,WIX.COM LTD. - ORDINAR,IL0011301780,NDQ,,1,277.2000,USD,-277.20,USD,-234.90,EUR,1.1801,-0.50,EUR,-235.40,EUR,35c27ba8-ebda-4655-aeb3-b418609ee55c
05-08-2020,16:44,LIVONGO HEALTH INC,US5391831030,NDQ,,2,133.8800,USD,-267.76,USD,-225.16,EUR,1.1892,-0.51,EUR,-225.67,EUR,5cd37caa-67f4-4da5-a0ab-89451195dbd0
16-07-2020,20:22,ASML HOLDING N.V. - AD,USN070592100,NDQ,,1,387.7800,USD,-387.78,USD,-340.76,EUR,1.1380,-0.50,EUR,-341.26,EUR,bc02e3a7-4fd3-4a6c-8951-9c145541ff87
01-07-2020,00:00,MATCH GROUP INC,US57667L1070,NDQ,,0,0.0000,USD,0.00,USD,0.00,EUR,1.1220,,,0.00,EUR,
01-07-2020,00:00,MATCH GROUP INC,US57667L1070,NDQ,,0,3176.5579,USD,0.00,USD,0.00,EUR,1.1220,,,0.00,EUR,
01-07-2020,00:00,MATCH GROUP INC,US57667L1070,NDQ,,0,3176.5579,USD,0.00,USD,0.00,EUR,1.1220,,,0.00,EUR,
01-07-2020,00:00,MATCH GROUP INC,US57667L1070,NDQ,,2,107.0500,USD,-214.10,USD,-190.83,EUR,1.1220,,,-190.83,EUR,
01-07-2020,00:00,MATCH GROUP INC,US57665R1068,NDQ,,-2,107.0500,USD,214.10,USD,190.83,EUR,1.1220,,,190.83,EUR,
22-06-2020,21:30,INVITAE CORPORATION CO,US46185L1035,NSY,XNAS,-20,26.6500,USD,533.00,USD,473.53,EUR,1.1256,-0.57,EUR,472.96,EUR,2a64a3cf-caac-429c-b4b8-88fa52b72936
18-06-2020,21:59,WEX INC. COMMON STOCK,US96208T1043,NSY,XNYS,2,171.0000,USD,-342.00,USD,-305.28,EUR,1.1203,-0.51,EUR,-305.79,EUR,5eda6ae3-e3f7-4f08-a3be-1b95b9f0232d
03-06-2020,19:52,NOVAVAX INC. - COMMON STOCK,US6700024010,NDQ,SOHO,-10,43.0500,USD,430.50,USD,383.11,EUR,1.1237,-0.54,EUR,382.57,EUR,f69ae4e4-4aa8-4e97-a25d-185ac06ec678
02-06-2020,20:33,NOVAVAX INC. - COMMON STOCK,US6700024010,NDQ,CDED,10,49.8700,USD,-498.70,USD,-446.50,EUR,1.1169,-0.54,EUR,-447.04,EUR,756978e4-59e7-4311-b916-c8d697653583
28-05-2020,19:57,ZYNGA INC. - CLASS A C,US98986T1088,NDQ,ARCX,28,8.1300,USD,-227.64,USD,-205.41,EUR,1.1082,-0.60,EUR,-206.01,EUR,7ebdcb8d-cd9d-4b20-91fa-7245b238efac
28-05-2020,19:56,MATCH GROUP INC,US57665R1068,NDQ,XNAS,2,91.0000,USD,-182.00,USD,-164.26,EUR,1.1080,-0.51,EUR,-164.77,EUR,80958b45-9fcd-4d97-aac9-3b64c9693145
26-05-2020,13:04,UNILEVER OS,NL0000388619,EAM,MSSI,5,44.0900,EUR,-220.45,EUR,-220.45,EUR,,-4.11,EUR,-224.56,EUR,a38824fc-d138-4cfa-873b-d0c5e3650da7
22-05-2020,16:08,NETEASE INC. - AMERIC,US64110W1027,NDQ,CDED,1,372.9300,USD,-372.93,USD,-342.26,EUR,1.0896,-0.50,EUR,-342.76,EUR,3f7f3ede-6e71-45d1-a8b9-5a93f5266173
05-05-2020,15:32,QUALCOMM INCORPORATED,US7475251036,NDQ,ARCX,3,77.3500,USD,-232.05,USD,-213.56,EUR,1.0866,-0.51,EUR,-214.07,EUR,39b0ec48-e054-44a9-ac91-d9e33b092f3e
05-05-2020,15:31,ALTRIA GROUP INC.,US02209S1033,NSY,CDED,11,38.2300,USD,-420.53,USD,-387.01,EUR,1.0866,-0.54,EUR,-387.55,EUR,cbfa4c9e-0361-473d-bfad-99660548e2b3
01-05-2020,20:45,ZOOM VIDEO COMMUNICATIONS-A,US98980L1017,NDQ,XNAS,2,138.6500,USD,-277.30,USD,-252.64,EUR,1.0976,-0.51,EUR,-253.15,EUR,570e7524-e654-4148-9c5a-5d1cfa681bc8
01-05-2020,20:27,MASTERCARD INCORPORATE,US57636Q1040,NSY,CDED,2,267.8300,USD,-535.66,USD,-487.85,EUR,1.0980,-0.51,EUR,-488.36,EUR,25baa399-22ef-4bfe-ad3f-fb200984bf49
30-04-2020,17:59,NICE-SYSTEMS LIMITED -,US6536561086,NDQ,CDED,-4,165.2600,USD,661.04,USD,604.41,EUR,1.0937,-0.51,EUR,603.90,EUR,4ede1c3a-6f6e-4c6b-a5ff-057f354af1fe
30-04-2020,17:44,IDEXX LABORATORIES IN,US45168D1046,NDQ,BATS,-3,280.3400,USD,841.02,USD,768.41,EUR,1.0945,-0.51,EUR,767.90,EUR,817164be-1ed4-4f55-8fbe-1dede1dd11cd
30-04-2020,17:40,SYNOPSYS INC. - COMMO,US8716071076,NDQ,SOHO,-7,157.6900,USD,1103.83,USD,1007.42,EUR,1.0957,-0.53,EUR,1006.89,EUR,9ca7aa04-14b3-43fc-aa5a-3eb2067354d2
30-04-2020,17:38,NVIDIA CORPORATION - C,US67066G1040,NDQ,ARCX,-4,295.3000,USD,1181.20,USD,1078.03,EUR,1.0957,-0.51,EUR,1077.52,EUR,77a6e29d-a1c8-498b-ba3b-45b1816d94fc
30-04-2020,17:35,DEXCOM INC. - COMMON,US2521311074,NDQ,ARCX,-1,343.5000,USD,343.50,USD,313.56,EUR,1.0955,-0.50,EUR,313.06,EUR,59824f47-9734-4bd3-ba41-2c2ea3c7633d
02-03-2020,12:31,ROYAL DUTCH SHELLA,GB00B03MLX29,EAM,XAMS,11,19.6000,EUR,-215.60,EUR,-215.60,EUR,,-4.11,EUR,-219.71,EUR,a6e3e918-66cd-48cc-aa20-9a86c4a0b7da
20-02-2020,20:16,DEXCOM INC. - COMMON,US2521311074,NDQ,CDED,1,300.2400,USD,-300.24,USD,-278.23,EUR,1.0791,-0.50,EUR,-278.73,EUR,fb84b296-97ef-47d5-8a44-30bb6f7d834d
20-02-2020,16:05,INVITAE CORPORATION CO,US46185L1035,NSY,SOHO,20,24.0300,USD,-480.60,USD,-444.30,EUR,1.0817,-0.57,EUR,-444.87,EUR,2e5645b4-57e4-434d-844d-e842782d56b6
10-02-2020,14:43,ROYAL DUTCH SHELLA,GB00B03MLX29,EAM,MSSI,45,23.5150,EUR,-1058.18,EUR,-1058.18,EUR,,-4.53,EUR,-1062.71,EUR,16546753-b572-4b61-b798-de6860a84b30
03-02-2020,16:10,NVIDIA CORPORATION - C,US67066G1040,NDQ,BATS,4,239.2000,USD,-956.80,USD,-866.12,EUR,1.1047,-0.51,EUR,-866.63,EUR,189147f8-bfab-4de7-8aac-57ab1577b56b
30-01-2020,15:30,CHEVRON CORPORATION CO,US1667641005,NSY,XNYS,10,109.7400,USD,-1097.40,USD,-995.56,EUR,1.1023,-0.54,EUR,-996.10,EUR,a5fe633a-48dc-43e1-9b0a-933a9fc0bf0f
30-01-2020,15:30,NICE-SYSTEMS LIMITED -,US6536561086,NDQ,XNAS,6,173.2700,USD,-1039.62,USD,-943.14,EUR,1.1023,-0.52,EUR,-943.66,EUR,77ba37a4-1694-499c-adcc-e5b6efcb9acf
30-01-2020,15:30,IDEXX LABORATORIES IN,US45168D1046,NDQ,XNAS,4,278.8000,USD,-1115.20,USD,-1011.61,EUR,1.1024,-0.51,EUR,-1012.12,EUR,7cd4ba77-329c-40c3-8fb4-800327164fc0
30-01-2020,15:30,SYNOPSYS INC. - COMMO,US8716071076,NDQ,XNAS,7,149.6600,USD,-1047.62,USD,-950.40,EUR,1.1023,-0.53,EUR,-950.93,EUR,b90d78d5-62fa-45e4-ab94-bce4230a01bd
27-01-2020,15:48,MCCORMICK & COMPANY I,US5797802064,NSY,CDED,5,173.5500,USD,-867.75,USD,-786.65,EUR,1.1031,-0.52,EUR,-787.17,EUR,e41304a7-4e45-44f2-bb1b-e86ca344c230
24-01-2020,15:32,EXXON MOBIL CORPORATIO,US30231G1022,NSY,XNYS,15,66.5000,USD,-997.50,USD,-903.20,EUR,1.1044,-0.55,EUR,-903.75,EUR,d90f32fe-df49-4515-92d3-2c0fdbfcc91a
24-01-2020,15:30,AT&T INC.,US00206R1023,NSY,XNYS,27,38.5400,USD,-1040.58,USD,-942.12,EUR,1.1045,-0.60,EUR,-942.72,EUR,c7a7f2c8-7727-46ec-8a5a-54694639c4cf
24-01-2020,15:30,ONEOK INC. COMMON STO,US6826801036,NSY,XNYS,13,75.4300,USD,-980.59,USD,-887.73,EUR,1.1046,-0.55,EUR,-888.28,EUR,2648fd75-e4ce-4ca9-83eb-a40b1e494baa
24-01-2020,15:30,VERIZON COMMUNICATIONS,US92343V1044,NSY,XNYS,17,60.5000,USD,-1028.50,USD,-931.19,EUR,1.1045,-0.56,EUR,-931.75,EUR,4b0aa50b-567f-4733-bb99-5dfb593b5c39
